"","Period","Trade","Gross_Weight_kt","NZD_Value_mil"
"169",1995-01-31,"Exports",1374.159,1473.224
"170",1995-01-31,"Imports",790.388,1383.545
"171",1995-02-28,"Exports",1501.628,1931.136
"172",1995-02-28,"Imports",841.496,1581.88
"173",1995-03-31,"Exports",1659.785,2052.058
"174",1995-03-31,"Imports",1096.029,1824.231
"175",1995-04-30,"Exports",1326.819,1674.269
"176",1995-04-30,"Imports",961.317,1523.669
"177",1995-05-31,"Exports",1674.297,2069.032
"178",1995-05-31,"Imports",1054.454,1710.481
"179",1995-06-30,"Exports",1943.872,1790.601
"180",1995-06-30,"Imports",736.476,1618.163
"181",1995-07-31,"Exports",1545.495,1612.476
"182",1995-07-31,"Imports",1079.115,1781.513
"183",1995-08-31,"Exports",1493.232,1698.959
"184",1995-08-31,"Imports",979.728,1948.892
"185",1995-09-30,"Exports",1494.723,1599.896
"186",1995-09-30,"Imports",1083.941,1834.656
"187",1995-10-31,"Exports",1734.031,1680.721
"188",1995-10-31,"Imports",834.455,1853.879
"189",1995-11-30,"Exports",1528.526,1763.216
"190",1995-11-30,"Imports",1053.269,1957.405
"191",1995-12-31,"Exports",1368.586,1714.104
"192",1995-12-31,"Imports",791.613,1663.734
"193",1996-01-31,"Exports",1531.217,1464.794
"194",1996-01-31,"Imports",910.387,1584.591
"195",1996-02-29,"Exports",1505.14,1744.533
"196",1996-02-29,"Imports",1158.42,1654.703
"197",1996-03-31,"Exports",1780.133,1887.766
"198",1996-03-31,"Imports",1084.07,1667.751
"199",1996-04-30,"Exports",1544.42,1833.245
"200",1996-04-30,"Imports",802.751,1667.772
"201",1996-05-31,"Exports",2069.702,2238.746
"202",1996-05-31,"Imports",1021.627,1847.203
"203",1996-06-30,"Exports",1825.794,1710.925
"204",1996-06-30,"Imports",996.384,1642.594
"205",1996-07-31,"Exports",1673.019,1885.02
"206",1996-07-31,"Imports",969.692,1938.509
"207",1996-08-31,"Exports",1832.407,1720.766
"208",1996-08-31,"Imports",1036.028,1905.266
"209",1996-09-30,"Exports",1503.191,1603.225
"210",1996-09-30,"Imports",1060.29,1825.249
"211",1996-10-31,"Exports",1893.652,1774.457
"212",1996-10-31,"Imports",1000.434,1898.485
"213",1996-11-30,"Exports",1612.399,1763.513
"214",1996-11-30,"Imports",981.684,1818.293
"215",1996-12-31,"Exports",1802.618,1765.95
"216",1996-12-31,"Imports",759.054,1695.618
"217",1997-01-31,"Exports",1496.491,1495.917
"218",1997-01-31,"Imports",1138.305,1586.722
"219",1997-02-28,"Exports",1420.824,1689.871
"220",1997-02-28,"Imports",812.398,1490.554
"221",1997-03-31,"Exports",1748.23,1814.931
"222",1997-03-31,"Imports",990.997,1651.87
"223",1997-04-30,"Exports",2000.425,2059.503
"224",1997-04-30,"Imports",1265.792,1847.96
"225",1997-05-31,"Exports",2077.752,2161.556
"226",1997-05-31,"Imports",1151.673,1672.854
"227",1997-06-30,"Exports",1582.738,1777.558
"228",1997-06-30,"Imports",544.083,1532.53
"229",1997-07-31,"Exports",1537.686,1835.835
"230",1997-07-31,"Imports",981.836,1672.814
"231",1997-08-31,"Exports",1576.236,1771.359
"232",1997-08-31,"Imports",881.333,1818.959
"233",1997-09-30,"Exports",1607.573,1754.801
"234",1997-09-30,"Imports",1113.138,1984.202
"235",1997-10-31,"Exports",1718.848,1866.989
"236",1997-10-31,"Imports",914.311,1951.832
"237",1997-11-30,"Exports",1461.064,1798.137
"238",1997-11-30,"Imports",889.801,1823.817
"239",1997-12-31,"Exports",1497.603,1928.521
"240",1997-12-31,"Imports",894.136,1917.276
"241",1998-01-31,"Exports",1149.457,1702.063
"242",1998-01-31,"Imports",803.435,1568.825
"243",1998-02-28,"Exports",1426.649,1817.957
"244",1998-02-28,"Imports",773.114,1627.467
"245",1998-03-31,"Exports",1611.723,2056.419
"246",1998-03-31,"Imports",1565.983,2029.626
"247",1998-04-30,"Exports",1508.606,2000.809
"248",1998-04-30,"Imports",1144.557,1766.555
"249",1998-05-31,"Exports",1843.553,2091.838
"250",1998-05-31,"Imports",1043.104,1735.574
"251",1998-06-30,"Exports",1599.156,1907.847
"252",1998-06-30,"Imports",1181.928,1831.445
"253",1998-07-31,"Exports",1217.507,1927.341
"254",1998-07-31,"Imports",984.169,1949.891
"255",1998-08-31,"Exports",1659.053,1836.653
"256",1998-08-31,"Imports",921.209,1934.48
"257",1998-09-30,"Exports",1637.556,1902.416
"258",1998-09-30,"Imports",1219.957,2035.128
"259",1998-10-31,"Exports",1907.006,1974.256
"260",1998-10-31,"Imports",857.243,2030.599
