great_walk,seasonality,hut_or_campsite,measure,date,count
Lake Waikaremoana Track - Great Walk,Year-round,Waiharuru  Campsite,Capacity,1/10/2005,
Lake Waikaremoana Track - Great Walk,Year-round,Waiharuru Hut,BookedUnits,1/10/2005,
Lake Waikaremoana Track - Great Walk,Year-round,Waiharuru Hut,Capacity,1/10/2005,
Lake Waikaremoana Track - Great Walk,Year-round,Waiopaoa Campsite,BookedUnits,1/10/2005,
Lake Waikaremoana Track - Great Walk,Year-round,Waiopaoa Campsite,Capacity,1/10/2005,
Lake Waikaremoana Track - Great Walk,Year-round,Waiopaoa Hut,BookedUnits,1/10/2005,
Lake Waikaremoana Track - Great Walk,Year-round,Waiopaoa Hut,Capacity,1/10/2005,
Lake Waikaremoana Track - Great Walk,Year-round,Whanganui Hut,BookedUnits,1/10/2005,
Lake Waikaremoana Track - Great Walk,Year-round,Whanganui Hut,Capacity,1/10/2005,
Milford Track - Great Walk,Seasonal,Clinton Hut,BookedUnits,1/10/2005,265
Milford Track - Great Walk,Seasonal,Clinton Hut,Capacity,1/10/2005,280
Milford Track - Great Walk,Seasonal,Dumpling Hut,BookedUnits,1/10/2005,179
Milford Track - Great Walk,Seasonal,Dumpling Hut,Capacity,1/10/2005,200
Milford Track - Great Walk,Seasonal,Mintaro Hut,BookedUnits,1/10/2005,219
Milford Track - Great Walk,Seasonal,Mintaro Hut,Capacity,1/10/2005,240
Rakiura Track - Great Walk,Year-round,Maori Beach Campsite,BookedUnits,1/10/2005,
Rakiura Track - Great Walk,Year-round,Maori Beach Campsite,Capacity,1/10/2005,
Rakiura Track - Great Walk,Year-round,North Arm Campsite,BookedUnits,1/10/2005,
Rakiura Track - Great Walk,Year-round,North Arm Campsite,Capacity,1/10/2005,
Rakiura Track - Great Walk,Year-round,North Arm Hut,BookedUnits,1/10/2005,
Rakiura Track - Great Walk,Year-round,North Arm Hut,Capacity,1/10/2005,
Rakiura Track - Great Walk,Year-round,Port William Campsite,BookedUnits,1/10/2005,
Rakiura Track - Great Walk,Year-round,Port William Campsite,Capacity,1/10/2005,
Rakiura Track - Great Walk,Year-round,Port William Hut,BookedUnits,1/10/2005,
Rakiura Track - Great Walk,Year-round,Port William Hut,Capacity,1/10/2005,
Routeburn Track - Great Walk,Seasonal,Lake Howden Hut,BookedUnits,1/10/2005,21
Routeburn Track - Great Walk,Seasonal,Lake Howden Hut,Capacity,1/10/2005,140
Routeburn Track - Great Walk,Seasonal,Lake Mackenzie Campsite,BookedUnits,1/10/2005,10
Routeburn Track - Great Walk,Seasonal,Lake Mackenzie Campsite,Capacity,1/10/2005,120
Routeburn Track - Great Walk,Seasonal,Lake Mackenzie Hut,BookedUnits,1/10/2005,66
Routeburn Track - Great Walk,Seasonal,Lake Mackenzie Hut,Capacity,1/10/2005,300
Routeburn Track - Great Walk,Seasonal,Routeburn Falls Hut,BookedUnits,1/10/2005,73
Routeburn Track - Great Walk,Seasonal,Routeburn Falls Hut,Capacity,1/10/2005,336
Routeburn Track - Great Walk,Seasonal,Routeburn Flats Campsite,BookedUnits,1/10/2005,8
Routeburn Track - Great Walk,Seasonal,Routeburn Flats Campsite,Capacity,1/10/2005,150
Routeburn Track - Great Walk,Seasonal,Routeburn Flats Hut,BookedUnits,1/10/2005,10
Routeburn Track - Great Walk,Seasonal,Routeburn Flats Hut,Capacity,1/10/2005,120
Tongariro Northern Circuit - Great Walk,Seasonal,Mangatepopo Campsite,BookedUnits,1/10/2005,
Tongariro Northern Circuit - Great Walk,Seasonal,Mangatepopo Campsite,Capacity,1/10/2005,
Tongariro Northern Circuit - Great Walk,Seasonal,Mangatepopo Hut,BookedUnits,1/10/2005,
Tongariro Northern Circuit - Great Walk,Seasonal,Mangatepopo Hut,Capacity,1/10/2005,
Tongariro Northern Circuit - Great Walk,Seasonal,Oturere Campsite,BookedUnits,1/10/2005,
Tongariro Northern Circuit - Great Walk,Seasonal,Oturere Campsite,Capacity,1/10/2005,
Tongariro Northern Circuit - Great Walk,Seasonal,Oturere Hut,BookedUnits,1/10/2005,
Tongariro Northern Circuit - Great Walk,Seasonal,Oturere Hut,Capacity,1/10/2005,
Tongariro Northern Circuit - Great Walk,Seasonal,Waihohonu Campsite,BookedUnits,1/10/2005,
Tongariro Northern Circuit - Great Walk,Seasonal,Waihohonu Campsite,Capacity,1/10/2005,
Tongariro Northern Circuit - Great Walk,Seasonal,Waihohonu Hut,BookedUnits,1/10/2005,
Tongariro Northern Circuit - Great Walk,Seasonal,Waihohonu Hut,Capacity,1/10/2005,
Whanganui Journey - Great Walk,Seasonal,John Coull Campsite,BookedUnits,1/10/2005,
Whanganui Journey - Great Walk,Seasonal,John Coull Campsite,Capacity,1/10/2005,
Whanganui Journey - Great Walk,Seasonal,John Coull Hut,BookedUnits,1/10/2005,
Whanganui Journey - Great Walk,Seasonal,John Coull Hut,Capacity,1/10/2005,
Whanganui Journey - Great Walk,Seasonal,Maharanui Campsite,BookedUnits,1/10/2005,
Whanganui Journey - Great Walk,Seasonal,Maharanui Campsite,Capacity,1/10/2005,
Whanganui Journey - Great Walk,Seasonal,Mangapapa Campsite,BookedUnits,1/10/2005,
Whanganui Journey - Great Walk,Seasonal,Mangapapa Campsite,Capacity,1/10/2005,
Whanganui Journey - Great Walk,Seasonal,Mangapurua Campsite,BookedUnits,1/10/2005,
Whanganui Journey - Great Walk,Seasonal,Mangapurua Campsite,Capacity,1/10/2005,
Whanganui Journey - Great Walk,Seasonal,Mangawaiiti Campsite,BookedUnits,1/10/2005,
Whanganui Journey - Great Walk,Seasonal,Mangawaiiti Campsite,Capacity,1/10/2005,
Whanganui Journey - Great Walk,Seasonal,Ngaporo Campsite,BookedUnits,1/10/2005,
Whanganui Journey - Great Walk,Seasonal,Ngaporo Campsite,Capacity,1/10/2005,
Whanganui Journey - Great Walk,Seasonal,Ohauora Campsite,BookedUnits,1/10/2005,
Whanganui Journey - Great Walk,Seasonal,Ohauora Campsite,Capacity,1/10/2005,
Whanganui Journey - Great Walk,Seasonal,Ohinepane Campsite,BookedUnits,1/10/2005,
Whanganui Journey - Great Walk,Seasonal,Ohinepane Campsite,Capacity,1/10/2005,
Whanganui Journey - Great Walk,Seasonal,Poukaria Campsite,BookedUnits,1/10/2005,
Whanganui Journey - Great Walk,Seasonal,Poukaria Campsite,Capacity,1/10/2005,
Whanganui Journey - Great Walk,Seasonal,Tieke Campsite,BookedUnits,1/10/2005,
